procedure,calls,inclusive_time,exclusive_time
SPACING-URGE,391430,365.9759,365.9759
ADD,5004900,523.6978,523.6978
ALIGN-URGE,391430,563.2581,563.2581
ADVANCE-CLOCK,114,0.9113,0.9113
PICK.PATCH,1174,6.1092,6.1092
GO,115,24467.7701,376.577
SET.BEHAVIOR,5760,118.7641,112.6549
DO.DDIVER.MOVEMENT,1140,168.2026,168.2026
D.COUNT.FISHES,114,9.5609,9.5609
REST-URGE,267400,119.6265,119.6265
FORGET.FISHES,114,9.3558,9.3558
MAGNITUDE,5696100,434.6688,434.6688
AVOID-PREDATOR-URGE,691200,1308.4041,1308.4041
CENTER-URGE,391430,308.1972,308.1972
PATCH-CENTER-URGE,107210,79.4475,79.4475
OCCURRENCES,2,0.5204,0.5204
ADD-URGE,3622500,2801.8764,1165.9334
AVOID-DIVER-URGE,691200,613.2731,613.2731
SET.FIRST.BEHAVIOR,480,6.8097,6.8097
SCALE,5167840,498.9336,498.9336
DO.OUTPUTS,1,0,2.9738
DO.FISH.MOVEMENT,691200,29299.9078,22561.9479
WANDER-URGE,691200,114.1698,114.1698
NORMALIZE,3622500,911.5166,642.3741
