procedure,calls,inclusive_time,exclusive_time
ADD,5224939,1422.5918,1422.5918
PICK.PATCH,1162,4.0336,4.0336
SUBTRACT,1179149,522.7171,522.7171
MAGNITUDE,8385438,2606.9803,2606.9803
SET.FIRST.BEHAVIOR,480,2.2584,2.2584
SCALE,5163174,1350.9106,1350.9106
NORMALIZE,5163666,3099.0599,1561.7798
SPACING-URGE,390420,572.4702,396.5269
ALIGN-URGE,390420,890.0724,890.0724
ADVANCE-CLOCK,114,0.9056,0.9056
GO,115,40426.5313,9905.1676
SET.BEHAVIOR,5760,62.7038,58.6702
DO.DDIVER.MOVEMENT,1140,113.9696,113.9696
D.COUNT.FISHES,114,9.4721,9.4721
REST-URGE,267090,239.4876,58.2296
FORGET.FISHES,114,9.8681,9.8681
AVOID-PREDATOR-URGE,691200,1493.7604,1493.7604
CENTER-URGE,390420,575.5427,575.5427
PATCH-CENTER-URGE,109730,89.1677,89.1677
OCCURRENCES,2,0.472,0.472
ADD-URGE,3621680,5321.1582,1214.8036
AVOID-DIVER-URGE,691200,655.166,653.6545
DO.OUTPUTS,1,0,2.4756
DO.FISH.MOVEMENT,691200,36810.4,23741.378
WANDER-URGE,691200,232.2846,232.2846
