procedure,calls,inclusive_time,exclusive_time
ADD,5851010,643.3909,643.3909
PICK.PATCH,1173,6.2781,6.2781
MAGNITUDE,6686210,553.6568,553.6568
SET.FIRST.BEHAVIOR,960,11.1995,11.1995
SCALE,6041107,655.5039,655.5039
NORMALIZE,4180610,1129.9569,790.6852
SPACING-URGE,427550,394.431,394.431
ALIGN-URGE,427550,585.4652,585.4652
ADVANCE-CLOCK,114,0.9092,0.9092
GO,115,25828.9587,330.6599
SET.BEHAVIOR,5760,119.741,113.4629
DO.DDIVER.MOVEMENT,1140,161.4708,161.4708
D.COUNT.FISHES,114,9.9794,9.9794
REST-URGE,278520,132.659,132.659
SETUP,1,11878.2684,6115.0315
FORGET.FISHES,114,9.2317,9.2317
AVOID-PREDATOR-URGE,835200,1574.4145,1574.4145
CENTER-URGE,427550,315.4687,315.4687
PATCH-CENTER-URGE,113840,89.3843,89.3843
OCCURRENCES,2,0.5466,0.5466
ADD-URGE,4180610,3447.0845,1411.7188
AVOID-DIVER-URGE,835200,711.625,711.625
DO.OUTPUTS,1,0,2.0164
DO.FISH.MOVEMENT,835200,36902.1866,28899.3394
WANDER-URGE,835200,144.4439,144.4439
